"name","totalCount","covered1","covered2","covered5","covered10"
"The proc filesystem","11","5","2","0","0"
"Events based on file descriptors","8","4","0","0","0"
"The Filesystem for Exporting Kernel Objects","10","4","3","0","0"
"The debugfs filesystem","30","7","5","4","1"
"splice API","12","6","1","1","0"
"pipes API","10","5","2","1","0"
"The Filesystem types","9","0","0","0","0"
"The Directory Cache","32","7","3","2","2"
"Inode Handling","31","14","7","5","4"
"Registration and Superblocks","11","5","1","1","0"
"File Locks","19","1","0","0","0"
"Other VFS Functions","89","38","22","11","4"
"Journalling API Data Types","5","3","1","1","1"
"Journalling API Functions","33","2","0","0","0"
